word,length,entropy
afstandtagen,12,2.8553885422075336
afstandtagende,14,2.8962915290459286
afsted,6,2.584962500721156
afstedkomme,11,3.095795255000934
afstemme,8,2.5
afstemning,10,3.1219280948873624
afstigning,10,2.7219280948873625
afstikke,8,2.75
afstikkende,11,3.0957952550009344
afstikker,9,2.94770277922009
afstikning,10,2.9219280948873623
afstive,7,2.8073549220576046
afstivning,10,2.9219280948873623
afstraffe,9,2.4193819456463714
afstraffelse,12,2.688721875540867
afstresning,11,3.0957952550009344
afstresse,9,2.4193819456463714
afstribe,8,3.0
afstribning,11,3.0957952550009344
afstrømning,11,3.277613436819116
afstumpe,8,3.0
afstumpet,9,2.94770277922009
afstumpning,11,3.277613436819116
afstøbe,7,2.8073549220576046
afstøbning,10,3.1219280948873624
afstøde,7,2.8073549220576046
afstødning,10,3.1219280948873624
afstøvning,10,3.1219280948873624
afstå,5,2.321928094887362
afståelse,9,2.725480556997868
afsvale,7,2.5216406363433186
afsvaling,9,2.94770277922009
afsvide,7,2.8073549220576046
afsvidning,10,2.9219280948873623
afsvovle,8,2.75
afsvovling,10,3.121928094887362
afsvække,8,2.75
afsvækkelse,11,2.9139770731827523
afsvækning,10,3.1219280948873624
afsværge,8,3.0
afsværgelse,11,3.0957952550009344
afsynge,7,2.8073549220576046
afsyngelse,10,2.9219280948873623
afsyngning,10,2.6464393446710153
afsyre,6,2.584962500721156
afsyring,8,3.0
afsæbe,6,2.584962500721156
afsæbning,9,2.94770277922009
afsæt,5,2.321928094887362
afsætning,9,2.94770277922009
afsætte,7,2.5216406363433186
afsættelig,10,3.121928094887362
afsættelse,10,2.7219280948873625
afsøge,6,2.584962500721156
afsøgning,9,2.725480556997868
aftabuisere,11,3.0957952550009344
aftabuisering,13,3.3927474104487847
aftag,5,1.9219280948873623
aftage,6,2.2516291673878226
aftagelig,9,2.725480556997868
aftagende,9,2.725480556997868
aftager,7,2.5216406363433186
aftagning,9,2.5032583347756456
aftakle,7,2.5216406363433186
aftakling,9,2.94770277922009
aftalt,6,1.9182958340544893
aftapning,9,2.725480556997868
aftappe,7,2.2359263506290326
aftegn,6,2.584962500721156
aftegne,7,2.5216406363433186
aftegning,9,2.725480556997868
aften,5,2.321928094887362
aftenbrug,9,3.169925001442312
aftenbøn,8,2.75
aftenflade,10,2.721928094887362
aftengudstjeneste,17,3.1018812234760182
aftenkaffe,10,2.446439344671015
aftenlig,8,3.0
aftenrøde,9,2.94770277922009
aftensang,9,2.725480556997868
aftensbord,10,3.321928094887362
aftenskole,10,3.121928094887362
aftensmad,9,2.94770277922009
aftensmåltid,12,3.418295834054489
aftensol,8,3.0
aftenstid,9,2.94770277922009
aftenstjerne,12,2.8553885422075336
aftenstund,10,2.9219280948873623
aftensværmer,12,3.2516291673878226
aftentur,8,2.75
aftenvagt,9,2.725480556997868
aftenåben,9,2.725480556997868
afterbeat,9,2.5032583347756456
aftershave,10,2.9219280948873623
afterskiing,11,3.277613436819116
aftersun,8,3.0
aftes,5,2.321928094887362
aftjekke,8,2.5
aftjekning,10,3.1219280948873624
aftjene,7,2.5216406363433186
aftjening,9,2.94770277922009
aftrapning,10,2.9219280948873623
aftrappe,8,2.5
aftryk,6,2.584962500721156
aftrykke,8,2.75
aftrykning,10,3.1219280948873624
aftræde,7,2.8073549220576046
aftrædelse,10,3.1219280948873624
aftrædning,10,3.1219280948873624
aftræk,6,2.584962500721156
aftrækker,9,2.725480556997868
aftvinge,8,3.0
aftvingelse,11,3.277613436819116
